Exhibit Number,Description,Date,Keywords,File Type,Category,Priority
A-1,Affidavit of Service - Attached document marked 'A',Unknown,affidavit service document a,pdf,COMMUNICATION,5
A-2,Acknowledgement of Receipt Card - Attached document marked 'B',Unknown,acknowledgement receipt card b,pdf,COMMUNICATION,4
A-3,Fax Transmission Report - Attached document marked 'C',Unknown,fax transmission report c,pdf,COMMUNICATION,3
A-4,Email Acceptance of Service - Attached document marked 'B',Unknown,email acceptance service b,pdf,COMMUNICATION,5
A-5,Marriage Certificate,Unknown,marriage certificate,pdf,INTEGRITY,8
A-6,Domestic Contract / Separation Agreement,Unknown,separation agreement domestic contract,pdf,FINANCIAL,7
A-7,Income Tax Return (Canada Revenue Agency),Unknown,income tax return cra,pdf,FINANCIAL,9
A-8,Notice of Assessment / Re-assessment,Unknown,notice assessment reassessment,pdf,FINANCIAL,9
A-9,Current Pay Stub,Unknown,pay stub earnings proof,pdf,FINANCIAL,7
A-10,Business Records (Self-Employed),Unknown,business records financial statements,pdf,FINANCIAL,7
A-1,Screenshot of text message exchange between Maureen Singh and Kuldip Singh regarding parenting time exchange at Tim Hortons.,2022-10-07,screenshot text message parenting exchange tim hortons,jpg,COMMUNICATION,7
A-2,Screenshot of disparaging text message from Kuldip Singh calling Maureen a 'Selfish B****' and 'Welfare bum'.,2022-10-07,screenshot text message disparaging insults,jpg,INTEGRITY,8
A-3,Screenshot of single-word profane text message from Kuldip Singh.,2022-10-08,screenshot text message profanity,jpg,COMMUNICATION,6
A-4,Screenshot of Instagram post by @AngadSingh tagging Maureen and using derogatory terms like 'trashy h***'.,2022-10-10,instagram post screenshot derogatory tags,jpg,INTEGRITY,9
A-5,Screenshot of Facebook post by Kuldip Singh admitting to subscribing the applicant to pornographic websites.,2022-10-14,facebook post admission subscription harassment,jpg,OBSTRUCTION,10
A-6,Incoming phone call log showing 27 blocked/anonymous calls in quick succession.,2022-10-15,call log blocked numbers harassment evidence,pdf,SAFETY,9
A-7,Receipt from Big City Hotel for emergency stay due to safety fears.,2022-10-15,hotel receipt emergency stay safety costs,pdf,FINANCIAL,7
A-8,Receipt from Phone Co. Ltd. for the fee to change phone number.,2022-10-15,phone number change receipt costs,pdf,FINANCIAL,5
A-9,Screenshot of post on blastyourex.com containing Maureen's private contact info and a photo of her son.,2022-10-15,blastyourex screenshot doxxing harassment,jpg,SAFETY,10
A-1,Columbia Law Review Vol. 123 No. 2 Masthead and Contents - Full issue containing various legal articles and notes.,2023-03-01,columbia law review masthead contents march 2023,pdf,INTEGRITY,3
A-2,U.S. Constitution (Excerpts in Dissertation) - Foundational legal document mentioned in Indigenous peoples debate article.,1787-01-01,us constitution preamble 1787 document,pdf,INTEGRITY,8
A-3,Coded Functional Parent Decisions Dataset (1980-2021) - Analysis of 669 cases regarding nonbiological parental rights.,2023-03-01,functional parent cases data set 1980 2021,pdf,INTEGRITY,7
A-4,Wirecard Scandal Financial Records (Mentioned) - Disclosure of 1.9 billion Euros in missing corporate cash.,2020-01-01,wirecard scandal corporate fraud missing cash,pdf,FINANCIAL,9
A-5,New York Housing Stability and Tenant Protection Act (HSTPA) - Legislation regarding rent regulation and tenant rights.,2019-01-01,hstpa 2019 new york rent regulation,pdf,FINANCIAL,6
A-6,28 U.S.C. § 1782 (Mentioned) - Statutory mechanism for judicial assistance to foreign and international tribunals.,1964-10-03,28 usc 1782 judicial assistance statute,pdf,COMMUNICATION,5
A-7,CFIUS Divestment Order - ByteDance/Musical.ly - Presidential order requiring divestment of app on national security grounds.,2020-08-14,bytedance musically divestment cfius order,pdf,SAFETY,10
A-8,Hendrick Aupaumut Narrative (1792) - Account of an embassy to Western Indians regarding the U.S. Constitution.,1792-01-01,hendrick aupaumut narrative 1792 embassy,pdf,COMMUNICATION,4
A-1,Feedback Booklets - Nationwide governmental consultation results on custody and access,2001-07-06,feedback booklets consultations canada custody,pdf,COMMUNICATION,5
A-2,Written Submissions/Briefs - Stakeholder and public opinions on child support and custody,2001-07-06,written submissions briefs legal reform,pdf,INTEGRITY,7
A-3,Workshop Reports (46 sessions) - Provincial and territorial qualitative findings,2001-06-28,workshop report provincial territorial consultation,pdf,COMMUNICATION,6
A-4,Report on Youth Workshops - Perspectives of children aged 10-17 on parental divorce,2001-06-21,youth workshop report children perspective divorce,pdf,SAFETY,8
A-5,Report on Aboriginal Workshop - Indigenous views on traditional knowledge and custody,2001-06-25,aboriginal workshop report ottawa indigenous custom,pdf,INTEGRITY,7
A-6,"Neilsen Report - Spousal Abuse, Children and the Legal System",2001-03-01,neilsen report spousal abuse legal system,pdf,SAFETY,10
A-7,Video: 'For the Sake of the Children' - Educational material for separating parents,Unknown,video for the sake of the children education,mp4,COMMUNICATION,4
A-8,Special Joint Committee Report: 'For the Love of Children' - 48 Recommendations,1998-12-01,special joint committee report for the love of children,pdf,INTEGRITY,9
A-9,Submission from Provincial Advisory Council on the Status of Women - NF & Labrador,1998-05-25,nf labrador women advisory council brief,pdf,SAFETY,7
