Exhibit Number,Description,Date,Category,Priority,File Type,Keywords,Legal Significance,Status,Source
A-1,Affidavit of Service - Attached document marked 'A',Unknown,COMMUNICATION,5,pdf,affidavit service document a,Proves that legal documents were successfully delivered to the party.,Copy,1
A-2,Acknowledgement of Receipt Card - Attached document marked 'B',Unknown,COMMUNICATION,4,pdf,acknowledgement receipt card b,Provides signed confirmation from the recipient of receiving documents.,Original,1
A-3,Fax Transmission Report - Attached document marked 'C',Unknown,COMMUNICATION,3,pdf,fax transmission report c,Machine-generated verification of a document being sent via fax.,Original,1
A-4,Email Acceptance of Service - Attached document marked 'B',Unknown,COMMUNICATION,5,pdf,email acceptance service b,Electronic proof that a solicitor accepted service of documents.,Original,1
A-5,Marriage Certificate,Unknown,INTEGRITY,8,pdf,marriage certificate,Required to prove the legal existence of the marriage in divorce proceedings.,Original,1
A-6,Domestic Contract / Separation Agreement,Unknown,FINANCIAL,7,pdf,separation agreement domestic contract,Sets out agreed terms for support and property division between spouses.,Copy,1
A-7,Income Tax Return (Canada Revenue Agency),Unknown,FINANCIAL,9,pdf,income tax return cra,Essential for calculating child and spousal support amounts.,Copy,1
A-8,Notice of Assessment / Re-assessment,Unknown,FINANCIAL,9,pdf,notice assessment reassessment,Official government verification of annual income.,Copy,1
A-9,Current Pay Stub,Unknown,FINANCIAL,7,pdf,pay stub earnings proof,Proves current year-to-date earnings from employment.,Copy,1
A-10,Business Records (Self-Employed),Unknown,FINANCIAL,7,pdf,business records financial statements,Determines income for child support guidelines for self-employed individuals.,Copy,1
A-1,Screenshot of text message exchange between Maureen Singh and Kuldip Singh regarding parenting time exchange at Tim Hortons.,2022-10-07,COMMUNICATION,7,jpg,screenshot text message parenting exchange tim hortons,Proves violation of conduct order regarding communication and physical presence during exchange.,Original - Screenshot,2
A-2,Screenshot of disparaging text message from Kuldip Singh calling Maureen a 'Selfish B****' and 'Welfare bum'.,2022-10-07,INTEGRITY,8,jpg,screenshot text message disparaging insults,Evidence of verbal abuse and breach of conduct orders regarding respectful communication.,Original - Screenshot,2
A-3,Screenshot of single-word profane text message from Kuldip Singh.,2022-10-08,COMMUNICATION,6,jpg,screenshot text message profanity,Demonstrates a pattern of ongoing harassment and violation of communication restrictions.,Original - Screenshot,2
A-4,Screenshot of Instagram post by @AngadSingh tagging Maureen and using derogatory terms like 'trashy h***'.,2022-10-10,INTEGRITY,9,jpg,instagram post screenshot derogatory tags,Proves public disparagement and harassment in violation of conduct orders.,Original - Screenshot,2
A-5,Screenshot of Facebook post by Kuldip Singh admitting to subscribing the applicant to pornographic websites.,2022-10-14,OBSTRUCTION,10,jpg,facebook post admission subscription harassment,Direct admission of intentional psychological harassment and misuse of personal information.,Original - Screenshot,2
A-6,Incoming phone call log showing 27 blocked/anonymous calls in quick succession.,2022-10-15,SAFETY,9,pdf,call log blocked numbers harassment evidence,Corroborates claims of stalking and continuous harassment causing safety concerns.,Copy - Digital Record,2
A-7,Receipt from Big City Hotel for emergency stay due to safety fears.,2022-10-15,FINANCIAL,7,pdf,hotel receipt emergency stay safety costs,Proof of financial loss/expenses incurred due to respondent's non-compliance and safety risks.,Original - Receipt,2
A-8,Receipt from Phone Co. Ltd. for the fee to change phone number.,2022-10-15,FINANCIAL,5,pdf,phone number change receipt costs,Evidence of expenses resulting from the need to mitigate harassment.,Original - Receipt,2
A-9,Screenshot of post on blastyourex.com containing Maureen's private contact info and a photo of her son.,2022-10-15,SAFETY,10,jpg,blastyourex screenshot doxxing harassment,Evidence of doxxing and inciting third-party harassment/violence; high safety risk.,Original - Screenshot,2
A-1,Columbia Law Review Vol. 123 No. 2 Masthead and Contents - Full issue containing various legal articles and notes.,2023-03-01,INTEGRITY,3,pdf,columbia law review masthead contents march 2023,Primary source publication containing legal analysis and record of scholars.,Original,3
A-2,U.S. Constitution (Excerpts in Dissertation) - Foundational legal document mentioned in Indigenous peoples debate article.,1787-01-01,INTEGRITY,8,pdf,us constitution preamble 1787 document,Foundational legal authority of the United States.,Copy,3
A-3,Coded Functional Parent Decisions Dataset (1980-2021) - Analysis of 669 cases regarding nonbiological parental rights.,2023-03-01,INTEGRITY,7,pdf,functional parent cases data set 1980 2021,Empirical evidence of judicial practice in family law parentage disputes.,Original,3
A-4,Wirecard Scandal Financial Records (Mentioned) - Disclosure of 1.9 billion Euros in missing corporate cash.,2020-01-01,FINANCIAL,9,pdf,wirecard scandal corporate fraud missing cash,Evidence of corporate fraud and failure of professional third-party gatekeepers.,Copy,3
A-5,New York Housing Stability and Tenant Protection Act (HSTPA) - Legislation regarding rent regulation and tenant rights.,2019-01-01,FINANCIAL,6,pdf,hstpa 2019 new york rent regulation,Primary statute subject to constitutional Takings Clause challenges.,Copy,3
A-6,28 U.S.C. § 1782 (Mentioned) - Statutory mechanism for judicial assistance to foreign and international tribunals.,1964-10-03,COMMUNICATION,5,pdf,28 usc 1782 judicial assistance statute,Governs the authority of U.S. courts to compel discovery for use in foreign litigation.,Copy,3
A-7,CFIUS Divestment Order - ByteDance/Musical.ly - Presidential order requiring divestment of app on national security grounds.,2020-08-14,SAFETY,10,pdf,bytedance musically divestment cfius order,Direct executive action blocking a corporate transaction for security reasons.,Copy - Government Record,3
A-8,Hendrick Aupaumut Narrative (1792) - Account of an embassy to Western Indians regarding the U.S. Constitution.,1792-01-01,COMMUNICATION,4,pdf,hendrick aupaumut narrative 1792 embassy,Historical testimony of Indigenous legal and constitutional interpretation.,Original - Historical Record,3
A-1,Feedback Booklets - Nationwide governmental consultation results on custody and access,2001-07-06,COMMUNICATION,5,pdf,feedback booklets consultations canada custody,"Captures the collective views of 2,324 Canadians to inform Family Law Committee policy",Original - Government Record,4
A-2,Written Submissions/Briefs - Stakeholder and public opinions on child support and custody,2001-07-06,INTEGRITY,7,pdf,written submissions briefs legal reform,Provides qualitative stakeholder information on recurring legal themes and recurring issues,Original - Official Submissions,4
